parlspeech_id,n_speech,min_date_speech,max_date_speech,mean_terms_speech,pageid,wikidataid
Sabine Stüber_PDS/LINKE,33,2010-01-21,2013-02-28,294.6060606060606,4780475,Q1536197
Sabine Sütterlin-Waack_CDU/CSU,19,2014-03-20,2017-06-23,701.6842105263158,NA,NA
Sabine Weiss_CDU/CSU,37,2009-12-17,2016-09-22,807.3783783783783,1705099,Q2209971
Sabine Zimmermann_PDS/LINKE,266,2005-12-14,2018-11-30,372.30075187969925,985079,Q1775158
Sahra Wagenknecht_PDS/LINKE,62,2009-11-11,2018-11-21,1017.5,440646,Q77193
Sandra Weeser_FDP,13,2018-01-18,2018-12-14,355.46153846153845,NA,NA
Sarah Ryglewski_SPD,33,2015-11-12,2018-12-13,557.2424242424242,NA,NA
Sascha Raabe_SPD,262,2003-05-08,2018-11-21,475.4618320610687,970880,Q1791033
Saskia Esken_SPD,40,2014-02-14,2018-11-29,426.825,NA,NA
Sebastian Blumenthal_FDP,35,2009-12-03,2013-06-26,343.51428571428573,4749538,Q1371483
Sebastian Brehm_CDU/CSU,28,2018-03-16,2018-12-13,606.6428571428571,NA,NA
Sebastian Edathy_SPD,102,1998-11-12,2013-09-02,620.5686274509804,300569,Q87648
Sebastian Hartmann_SPD,76,2014-06-27,2018-11-29,608.0131578947369,NA,NA
Sebastian Körber_FDP,23,2010-01-22,2013-06-06,523.3478260869565,4749504,Q2262892
Sebastian Münzenmaier_AfD,4,2018-02-22,2018-11-30,699.25,NA,NA
Sebastian Steineke_CDU/CSU,16,2014-04-08,2018-11-22,683.5625,NA,NA
Sepp Müller_CDU/CSU,27,2018-01-31,2018-12-13,241.96296296296296,NA,NA
Serkan Tören_FDP,60,2009-11-26,2013-09-02,500.8666666666667,4752948,Q111255
Sevim Dağdelen_PDS/LINKE,318,2009-11-26,2018-11-09,356.7295597484277,NA,NA
Sibylle Laurischk_FDP,148,2002-11-14,2013-06-13,489.5,666204,Q2281000
Sibylle Pfeiffer_CDU/CSU,124,2002-11-13,2017-05-18,442.508064516129,668886,Q1476425
Siegbert Droese_AfD,1,2018-02-23,2018-02-23,695,NA,NA
Siegfried Helias_CDU/CSU,22,1998-12-09,2005-06-02,466.6818181818182,900857,Q1308716
Siegfried Hornung_CDU/CSU,45,1992-10-14,2001-03-15,267.2888888888889,2939697,Q2283410
Siegfried Kauder_CDU/CSU,128,2002-12-04,2009-08-26,510.890625,488404,Q2283475
Siegfried Scheffler_SPD,293,1991-04-18,2004-11-11,231.88737201365188,175575,Q2283722
Siegfried Vergin_SPD,67,1991-12-11,1998-06-17,229.97014925373134,261244,Q1148679
Siegmar Mosdorf_SPD,376,1991-11-13,2002-02-28,288.2579787234043,1178415,Q1715181
Siegmund Ehrmann_SPD,59,2003-04-03,2017-06-23,763.0508474576271,490042,Q1469989
Siegrun Klemmer_SPD,101,1991-06-20,2001-11-29,434.7524752475247,236399,Q2284140
Siemtje Möller_SPD,15,2017-12-12,2018-11-21,560.8666666666667,NA,NA
Sigmar Gabriel_SPD,433,2002-06-13,2017-11-22,656.9630484988453,60076,Q160902
Sigrid Hoth_FDP,33,1991-06-04,1994-04-21,503.5151515151515,6578109,Q2285262
Sigrid Hupach_PDS/LINKE,39,2013-11-28,2017-06-01,505.0769230769231,NA,NA
Sigrid Semper_FDP,8,1991-06-20,1994-04-21,739.875,237880,Q2285323
Sigrid Skarpelis-Sperk_SPD,115,1991-04-19,2005-06-30,505.6434782608696,175623,Q1489624
Sigrun Löwisch_CDU/CSU,24,1992-06-17,1998-05-28,538.375,4106584,Q2285359
Silke Launert_CDU/CSU,36,2014-02-19,2018-12-14,629.8611111111111,NA,NA
Silke Lautenschläger_CDU/CSU,2,2003-01-30,2003-01-30,842.5,NA,NA
Silke Stokar von Neuforn_GRUENE,198,2002-10-29,2009-07-03,434.1515151515151,672366,Q126914
Silvia Breher_CDU/CSU,6,2018-02-02,2018-11-29,481.3333333333333,NA,NA
Silvia Schmidt_SPD,79,1999-01-22,2013-06-28,585.0759493670886,669017,Q1727613
Simon Wittmann_CDU/CSU,37,1991-09-25,1995-12-07,463.7027027027027,4485889,Q1632102
Simone Barrientos_PDS/LINKE,10,2018-01-17,2018-12-14,349.3,NA,NA
Simone Probst_GRUENE,92,1994-12-15,2004-10-28,189.1195652173913,186931,Q1533582
Simone Raatz_SPD,24,2014-01-31,2017-05-31,704.25,NA,NA
Simone Violka_SPD,40,1999-09-08,2009-07-02,828.625,672687,Q2288169
Sissy Geiger_CDU/CSU,12,1992-12-09,1993-11-11,489,6138098,Q2290303
Sonja Amalie Steffen_SPD,34,2017-12-13,2018-11-22,554.2647058823529,NA,NA
Sonja Steffen_SPD,103,2010-03-25,2017-06-29,554.5436893203884,4753212,Q2301738
Sönke Rix_SPD,130,2006-03-09,2018-12-14,515.1846153846154,984963,Q1651406
Sören Bartol_SPD,126,2003-02-20,2018-11-20,584.2142857142857,237825,Q91081
Sören Pellmann_PDS/LINKE,7,2018-03-22,2018-12-13,444.42857142857144,NA,NA
Stanislaw Tillich_CDU/CSU,1,2009-01-14,2009-01-14,1130,NA,NA
Stefan Gelbhaar_GRUENE,19,2018-01-17,2018-11-20,196.26315789473685,NA,NA
Stefan Heck_CDU/CSU,19,2014-04-03,2017-06-30,701.7894736842105,NA,NA
Stefan Heym_PDS/LINKE,9,1994-11-10,1995-09-07,551.8888888888889,16605,Q76534
Stefan Kaufmann_CDU/CSU,79,2009-12-03,2018-12-14,749.8607594936709,4748304,Q107793
Stefan Keuter_AfD,15,2017-12-13,2018-12-13,324.06666666666666,NA,NA
Stefan Liebich_PDS/LINKE,142,2009-12-02,2018-11-30,360.7676056338028,312636,Q2336956
Stefan Müller_CDU/CSU,107,2002-11-07,2018-03-23,600.8504672897196,1372211,Q2337183
Stefan Rebmann_SPD,41,2011-09-29,2017-05-18,512.4878048780488,6227127,Q2337377
Stefan Rouenhoff_CDU/CSU,10,2018-03-02,2018-06-14,257.3,NA,NA
Stefan Ruppert_FDP,126,2010-01-19,2018-11-22,502.95238095238096,4797527,Q2337465
Stefan Sauer_CDU/CSU,1,2018-05-16,2018-05-16,693,NA,NA
Stefan Schmidt_GRUENE,41,2018-01-17,2018-12-12,147.41463414634146,NA,NA
Stefan Schwartze_SPD,35,2010-05-20,2018-06-13,469.0857142857143,4748479,Q1506477
Stefan Schwarz_CDU/CSU,22,1991-03-22,1994-07-22,371.6363636363636,2568385,Q1487553
Stefan Zierke_SPD,8,2014-07-03,2017-03-31,452.125,NA,NA
Stefanie Vogelsang_CDU/CSU,74,2009-12-17,2013-06-12,350.1756756756757,4748839,Q2338304
Steffen Bilger_CDU/CSU,56,2010-03-25,2018-03-01,558.0535714285714,4748543,Q1648540
Steffen Bockhahn_PDS/LINKE,40,2010-01-19,2013-06-06,757.525,4669529,Q2338566
Steffen Flath_CDU/CSU,1,2007-03-30,2007-03-30,713,NA,NA
Steffen Heitmann_CDU/CSU,5,1992-06-26,1997-06-13,835.8,NA,NA
Steffen Kampeter_CDU/CSU,282,1991-06-12,2016-06-23,570.549645390071,174275,Q1522246
Steffen Kanitz_CDU/CSU,14,2014-01-31,2017-03-30,1108.0714285714287,NA,NA
Steffen Kotré_AfD,22,2017-12-12,2018-11-30,353.8636363636364,NA,NA
Steffen Reiche_SPD,15,2006-01-26,2009-07-02,959.4,887912,Q105620
Steffen Tippach_PDS/LINKE,67,1994-12-15,1998-06-17,312.0149253731343,237923,Q2338782
Steffen-Claudio Lemme_SPD,38,2010-01-29,2016-11-22,445.55263157894734,4764026,Q2338529
Steffi Lemke_GRUENE,237,1995-02-08,2018-12-12,326.1518987341772,534812,Q1502854
Stephan Albani_CDU/CSU,19,2014-01-31,2018-11-29,664.2105263157895,NA,NA
Stephan Brandner_AfD,68,2017-12-12,2018-12-14,231.30882352941177,NA,NA
Stephan Eisel_CDU/CSU,12,2007-10-11,2009-05-28,368.9166666666667,1141808,Q1694220
Stephan Harbarth_CDU/CSU,89,2010-01-29,2018-11-30,547.0898876404494,4748450,Q2801914
Stephan Hilsberg_SPD,272,1991-06-06,2009-05-28,276.4154411764706,174293,Q1294529
Stephan Kühn_GRUENE,161,2010-03-16,2018-11-08,339.1055900621118,4750832,Q1239215
Stephan Mayer_CDU/CSU,356,2002-12-04,2018-03-01,578.7443820224719,985012,Q1648387
Stephan Pilsinger_CDU/CSU,9,2018-02-01,2018-11-28,478.8888888888889,NA,NA
Stephan Protschka_AfD,18,2017-12-12,2018-11-29,252.55555555555554,NA,NA
Stephan Stracke_CDU/CSU,108,2009-12-17,2018-11-08,507,4747733,Q2343892
Stephan Thomae_FDP,108,2010-03-03,2018-11-29,510.2037037037037,4798245,Q2343911
Susann Rüthrich_SPD,25,2014-09-11,2018-10-11,723.08,NA,NA
Susanna Karawanskij_PDS/LINKE,52,2014-03-12,2017-06-29,592.6346153846154,NA,NA
Susanne Ferschl_PDS/LINKE,13,2018-02-22,2018-11-30,492.84615384615387,NA,NA
Susanne Jaffke -Witt_CDU/CSU,1,2009-07-02,2009-07-02,971,NA,NA
Susanne Jaffke_CDU/CSU,60,1991-06-04,2007-11-28,715.8,174262,Q2369278
Susanne Kastner_SPD,7932,1991-03-20,2013-06-13,97.76185073121533,1383459,Q91302
Susanne Mittag_SPD,32,2014-02-20,2018-11-29,811.21875,NA,NA
Susanne Rahardt-Vahldieck_CDU/CSU,18,1991-04-18,1994-06-30,617.2222222222222,4931546,Q2369431
Susanne Tiemann_CDU/CSU,33,1995-03-29,1999-09-29,437.6060606060606,6067248,Q1170842
Sven Lehmann_GRUENE,15,2017-12-13,2018-12-13,360.1333333333333,NA,NA
Sven Volmering_CDU/CSU,10,2014-05-22,2017-02-17,771.1,NA,NA
Sven-Christian Kindler_GRUENE,143,2010-01-21,2018-11-30,575.083916083916,4758287,Q2370788
Svenja Schulze_SPD,40,2018-03-14,2018-11-29,327.225,NA,NA
Svenja Stadler_SPD,12,2014-05-23,2018-11-23,619.1666666666666,NA,NA
Swen Schulz_SPD,160,2003-04-10,2018-11-22,591.21875,984901,Q2372488
Sybille Benning_CDU/CSU,14,2014-04-03,2018-12-14,712.2142857142857,NA,NA
Sylvia Bonitz_CDU/CSU,95,1999-03-19,2002-09-12,150.70526315789473,1451530,Q111520
Sylvia Canel_FDP,30,2009-11-26,2013-06-27,509.6333333333333,4761019,Q1361623
Sylvia Jörrißen_CDU/CSU,12,2014-02-20,2017-06-30,982,NA,NA
Sylvia Kotting-Uhl_GRUENE,402,2005-12-16,2018-11-28,266.3532338308458,939078,Q1568404
Sylvia Pantel_CDU/CSU,47,2014-04-10,2018-11-22,523.5106382978723,NA,NA
Sylvia Voß_GRUENE,31,1998-12-10,2002-06-27,819.9677419354839,4802838,Q2374287
Tabea Rößner_GRUENE,118,2010-02-25,2018-11-29,389.3898305084746,1439172,Q1564660
Tanja Gönner_CDU/CSU,32,2003-04-02,2004-06-30,315.1875,273777,Q101701
Tankred Schipanski_CDU/CSU,107,2009-12-03,2018-11-29,503.50467289719626,4756171,Q2392856
Thea Bock_SPD,21,1991-09-18,1993-11-25,353.6666666666667,4687519,Q1536330
Thea Dückert_GRUENE,343,1998-11-11,2009-06-18,501.9475218658892,297540,Q1423477
Theo Magin_CDU/CSU,2,1993-01-21,1994-04-28,1050.5,4852084,Q1666900
Theodor Waigel_CDU/CSU,355,1991-03-12,2002-07-04,1107.825352112676,61879,Q62077
Thilo Hoppe_GRUENE,131,2002-12-04,2013-06-27,551.587786259542,939956,Q102655
Thomas Bareiß_CDU/CSU,141,2006-09-21,2018-01-18,591.886524822695,890108,Q90623
Thomas de Maizière_CDU/CSU,374,2005-11-22,2018-11-09,400.3663101604278,147909,Q57364
Thomas Dörflinger_CDU/CSU,101,1998-12-09,2017-03-09,613.5940594059406,292724,Q123880
Thomas Ehrhorn_AfD,39,2017-12-12,2018-12-14,164.56410256410257,NA,NA
Thomas Erndl_CDU/CSU,14,2018-02-01,2018-10-18,453,NA,NA
Thomas Feist_CDU/CSU,69,2009-12-17,2017-06-28,528.8840579710145,NA,NA
Thomas Gambke_GRUENE,117,2009-11-12,2017-06-29,434.8034188034188,4761106,Q1395221
Thomas Gebhart_CDU/CSU,37,2009-12-03,2017-06-22,604.081081081081,404995,Q2424160
Thomas Goppel_CDU/CSU,15,1991-11-06,2004-11-12,630.2,NA,NA
Thomas Hacker_FDP,2,2018-04-20,2018-06-28,621,NA,NA
Thomas Heilmann_CDU/CSU,2,2018-03-02,2018-11-23,715.5,NA,NA
Thomas Hitschler_SPD,33,2014-02-20,2018-11-21,646.5454545454545,NA,NA
Thomas Jarzombek_CDU/CSU,85,2010-03-18,2018-11-07,553.2705882352941,3642945,Q97872
Thomas Jurk_SPD,43,2013-12-19,2018-11-22,566.2325581395348,NA,NA
Thomas Koenigs_GRUENE,8,2009-11-25,2009-12-17,148.625,NA,NA
Thomas Kossendey_CDU/CSU,37,1991-06-19,2013-06-14,781.5675675675676,174077,Q1270747
Thomas Krüger_SPD,70,1995-03-10,1998-04-29,326.6857142857143,175497,Q1566827
Thomas L. Kemmerich_FDP,11,2018-02-22,2018-12-13,297.72727272727275,NA,NA
Thomas Lutze_PDS/LINKE,61,2010-02-25,2018-11-22,449.7049180327869,4754178,Q2425894
