,politician,source,title,author,description,content,url,urlToImage,publishedAt,url_image,date_published
10,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 17:03 Immenser Briefwahl-Anteil in Rheinland-Pfalz +++,n-tv NACHRICHTEN,,"In Rheinland-Pfalz kündigt sich wie schon bei der Landtagswahl im März eine immense Briefwahl-Beteiligung an. Von den rund 3,06 Millionen Wahlberechtigten haben bis heute 48,7 Prozent Briefwahl für d… [+11670 chars]",https://www.n-tv.de/politik/17-03-Immenser-Briefwahl-Anteil-in-Rheinland-Pfalz--article22822546.html,,,,2021-09-23T15:03:00Z
11,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 16:01 FDP verzeichnet Mitgliederrekord +++,n-tv NACHRICHTEN,,"Die FDP verzeichnet einem Bericht der ""Rheinischen Post"" zufolge kurz vor der Bundestagswahl einen Mitgliederrekord. Wie die Zeitung unter Berufung auf Parteikreise berichtet, knackten die Liberalen … [+9853 chars]",https://www.n-tv.de/politik/16-01-FDP-verzeichnet-Mitgliederrekord--article22822546.html,,,,2021-09-23T14:01:00Z
12,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 16:29 Was in der Wahlkabine erlaubt ist +++,n-tv NACHRICHTEN,,"Bei der Wahlkabinen-Etikette besteht oft Unsicherheit. Darf ich während des Wählens telefonieren oder gar den Stimmzettel bemalen? ntv beantwortet die wichtigsten Fragen.
+++ 16:01 FDP verzeichnet M… [+10092 chars]",https://www.n-tv.de/politik/16-29-Was-in-der-Wahlkabine-erlaubt-ist--article22822546.html,,,,2021-09-23T14:29:00Z
13,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 11:47 Laschet: Niemand hat von Regierungsauftrag gesprochen +++,n-tv NACHRICHTEN,,"Unionskanzlerkandidat Armin Laschet unterstreicht in Beratungen der engsten CDU-Führungsspitze seine Bereitschaft, auch nach dem Absturz der Union bei der Bundestagswahl Verhandlungen über eine von i… [+14025 chars]",https://www.n-tv.de/politik/11-47-Laschet-Niemand-hat-von-Regierungsauftrag-gesprochen--article22822546.html,,,https://bilder1.n-tv.de/img/incoming/crop22828560/6251325880-cImg_16_9-w1200/104bb4d1ae73eda3c40e1e9b446eb728.jpg,2021-09-27T09:14:00Z
14,Michael von Abercron,Focus,"Bundestagswahl 2021 - Das Orakel von Pinneberg: Wer hier gewinnt, stellt den Kanzler – seit 1953",FOCUS Online,"In wenigen Tagen ist Bundestagswahl und Olaf Scholz (SPD), Armin Laschet (CDU) und Annalena Baerbock (Grüne) kämpfen um die Kanzlerschaft. Wer das Rennen macht, ist noch offen. Gespannt dürften einige auch nach Pinneberg blicken, denn der kleine Wahlkreis im …","In wenigen Tagen ist Bundestagswahl und Olaf Scholz (SPD), Armin Laschet (CDU) und Annalena Baerbock (Grüne) kämpfen um die Kanzlerschaft. Wer das Rennen macht, ist noch offen. Gespannt dürften einig… [+1298 chars]",https://www.focus.de/politik/deutschland/bundestagswahl/bundestagswahl-2021-das-orakel-von-pinneberg-wer-hier-gewinnt-stellt-den-kanzler-seit-1953_id_24269656.html,,,https://p6.focus.de/img/fotos/id_22145142/imago0131826241h.jpg?im=Crop%3D%280%2C281%2C3464%2C1732%29%3BResize%3D%281200%2C627%29&hash=ec0d1ffed2d8a2b848eb6ea1e0f141961e10534d18ab21825b2c0363acc88af3,2021-09-22T15:00:51Z
15,Michael von Abercron,Businessinsider.de,SaaS-Startup bekommt Geld von Project A und Philipp Westermeyer,Alex Hofmann,"Alles, was man über Startups wissen muss. Auf einen Blick. Die Kurznachrichten aus der Szene könnt ihr hier verfolgen.","Alles, was man über Startups wissen muss. Auf einen Blick. Die Kurznachrichten aus der Szene könnt ihr hier verfolgen.
30. September 2021: Das Hamburger Startup Heyflow schließt eine Seedrunde in Hö… [+20447 chars]",https://www.businessinsider.de/gruenderszene/news/startup-ticker-sept21-heyflow/,,,https://cdn.businessinsider.de/wp-content/uploads/2021/02/202101_GS_Newsticker_Startup_Artikelbild_1230x820-1.jpg,2021-09-30T08:23:00Z
16,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 20:47 Baerbock fordert schärferes Waffenrecht +++,n-tv NACHRICHTEN,,"Grünen-Kanzlerkandidatin Annalena Baerbock fordert nach dem Mordanschlag in einer Tankstelle in Idar-Oberstein, Hass und Hetze in den sozialen Medien konsequenter zu bekämpfen. Es werde bei den große… [+16888 chars]",https://www.n-tv.de/politik/20-47-Baerbock-fordert-schaerferes-Waffenrecht--article22822546.html,,,,2021-09-23T15:03:00Z
17,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 19:54 Straftaten bei AfD-Veranstaltung und Gegenprotest +++,n-tv NACHRICHTEN,,"Bei einer AfD-Wahlkampfveranstaltung und Gegenprotesten in Erfurt hat die Polizei mehrere Straftaten registriert. Bei der Kundgebung der AfD kam es den Angaben zufolge zu einer Sachbeschädigung, auße… [+15685 chars]",https://www.n-tv.de/politik/19-54-Straftaten-bei-AfD-Veranstaltung-und-Gegenprotest--article22822546.html,,,,2021-09-23T15:03:00Z
18,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 18:54 Maas glaubt nicht an Kurswechsel in Außenpolitik nach Wahl +++,n-tv NACHRICHTEN,,"Bundesaußenminister Heiko Maas geht davon aus, dass es nach der Bundestagswahl keinen Kurswechsel in der deutschen Außenpolitik geben wird. ""Auf die Verlässlichkeit der deutschen Außenpolitik wird ma… [+14169 chars]",https://www.n-tv.de/politik/18-54-Maas-glaubt-nicht-an-Kurswechsel-in-Aussenpolitik-nach-Wahl--article22822546.html,,,,2021-09-23T15:03:00Z
19,Michael von Abercron,N-tv.de,Wahl-Ticker: +++ 18:17 Scholz sagt Stahlindustrie Unterstützung zu +++,n-tv NACHRICHTEN,,Bundesfinanzminister und SPD-Kanzlerkandidat Olaf Scholz sagt der Stahlindustrie für den Fall einer von ihm angeführten Bundesregierung Rückendeckung für den Umbau zu einer klimafreundlichen Produkti… [+13595 chars],https://www.n-tv.de/politik/18-17-Scholz-sagt-Stahlindustrie-Unterstuetzung-zu--article22822546.html,,,,2021-09-23T15:03:00Z
